#--- ATTENTION : CONSERVEZ CETTE LICENCE SI VOUS REDISTRIBUEZ CE FICHIER ---
#License ABU
#-=-=-=-=-=-
#Version 1.1, Aout 1999
#
#Copyright (C) 1999 Association de Bibliophiles Universels
#   http://abu.cnam.fr/
#   abu@cnam.fr
#
#La base de textes de l'Association des Bibliophiles Universels (ABU)
#est une oeuvre de compilation, elle peut être copiée, diffusée et
#modifiée dans les conditions suivantes :
#
#1.  Toute copie à des fins privées, à des fins d'illustration de l'enseignement
#    ou de recherche scientifique est autorisée.
#
#2.  Toute diffusion ou inclusion dans une autre oeuvre doit
#
#     a) soit inclure la presente licence s'appliquant a l'ensemble de la
#        diffusion ou de l'oeuvre dérivee.
#
#     b) soit permettre aux bénéficiaires de cette diffusion ou de cette
#        oeuvre dérivée d'en extraire facilement et gratuitement une version
#        numérisée de chaque texte inclu, muni de la présente licence.  Cette
#        possibilité doit être mentionnée explicitement et de façon claire,
#        ainsi que le fait que la présente notice s'applique aux documents
#        extraits.
#
#     c) permettre aux bénéficiaires de cette diffusion ou de cette
#        oeuvre dérivée d'en extraire facilement et gratuitement la version
#        numérisée originale, munie le cas échéant des améliorations visées au
#        paragraphe 6, si elles sont présentent dans la diffusion ou la nouvelle
#        oeuvre. Cette possibilité doit être mentionnée explicitement et de
#        façon claire, ainsi que le fait que la présente notice s'applique aux
#        documents extraits.
#
#   Dans tous les autres cas, la présente licence sera réputée s'appliquer
#   à l'ensemble de la diffusion ou de l'oeuvre dérivée.
#
#
#3. L'en-tête qui accompagne chaque fichier doit être intégralement 
#   conservée au sein de la copie.
#
#4. La mention du producteur original doit être conservée, ainsi
#   que celle des contributeurs ultérieurs.
#
#5. Toute modification ultérieure, par correction d'erreurs,
#   additions de variantes, mise en forme dans un autre format, ou autre,
#   doit être indiquée.  L'indication des diverses contributions devra être
#   aussi précise que possible, et datée.
#
#6. Ce copyright s'applique obligatoirement à toute amélioration
#   par simple correction d'erreurs ou d'oublis mineurs (orthographe,
#   phrase manquante, ...), c'est-à-dire ne correspondant pas à
#   l'adjonction d'une autre variante connue du texte, qui devra donc
#   comporter la présente notice.
#
#----------------------- FIN DE LA LICENCE ABU --------------------------------
	nom
0	a
1	abaca
2	abacule
3	abaisse
4	abaisse-langue
5	abaissement
6	abaisseur
7	abaissée
8	abajoue
9	abandon
10	abandonnataire
11	abandonné
12	abaque
13	abasourdissement
14	abat
15	abat-foin
16	abat-jour
17	abat-vent
18	abat-voix
19	abatage
20	abatant
21	abats
22	abattage
23	abattant
24	abattement
25	abatteur
26	abattis
27	abattoir
28	abattu
29	abattée
30	abatée
31	abbatiale
32	abbaye
33	abbesse
34	abbevillien
35	abbé
36	abcès
37	abdicataire
38	abdication
39	abdomen
40	abdominaux
41	abduction
42	abeille
43	aber
44	aberrance
45	aberration
46	abiétinée
47	abjection
48	abjuration
49	ablatif
50	ablation
51	able
52	ableret
53	ablette
54	ablier
55	ablution
56	ablutions
57	ablégat
58	abnégation
59	aboi
60	aboiement
61	abois
62	abolition
63	abolitionnisme
64	abolitionniste
65	abomination
66	abondance
67	abonnement
68	abonnissement
69	abonné
70	abord
71	abordage
72	abords
73	abordé
74	aborigène
75	abortif
76	abot
77	abouchement
78	aboulie
79	aboulique
80	about
81	aboutement
82	aboutissants
83	aboutissement
84	aboyeur
85	abrasif
86	abrasion
87	abreuvoir
88	abri
89	abri-sous-roche
90	abricot
91	abricotier
92	abricoté
93	abrivent
94	abrogation
95	abrupt
96	abruti
97	abrutissement
98	abrègement
99	abréaction
100	abrégement
101	abrégé
102	abréviation
103	abscisse
104	absconse
105	absence
106	absent
107	absentéisme
108	absentéiste
109	abside
110	absidiole
111	absinthe
112	absinthisme
113	absolu
114	absolue
115	absolution
116	absolutisme
117	absorbant
118	absorbeur
119	absorption
120	absorptivité
121	absoute
122	abstention
123	abstentionnisme
124	abstentionniste
125	abstinence
126	abstinent
127	abstraction
128	abstractionnisme
129	abstrait
130	abstème
131	absurde
132	absurdité
133	abu
134	abus
135	abysse
136	abyssin
137	abyssinien
138	abâtardissement
139	abécédaire
140	abée
141	abêtissement
142	abîme
143	acabit
144	acacia
145	académicien
146	académie
147	académisme
148	acajou
149	acalèphe
150	acanthacée
151	acanthe
152	acanthocéphale
153	acanthoptérygien
154	acarien
155	acariâtreté
156	acarus
157	accablement
158	accalmie
159	accaparement
160	accapareur
161	accent
162	accentuation
163	acceptabilité
164	acceptant
165	acceptation
166	accepteur
167	acception
168	accessibilité
169	accession
170	accessit
171	accessoire
172	accessoiriste
173	accident
174	accise
175	acclamation
176	acclimatation
177	acclimatement
178	accointances
179	accolade
180	accommodat
181	accommodation
182	accommodement
183	accompagnateur
184	accompagnement
185	accompli
186	accomplissement
187	accord
188	accordailles
189	accordement
190	accordeur
191	accordoir
192	accordé
193	accordéon
194	accordéoniste
195	accore
196	accostage
197	accot
198	accotement
199	accotoir
200	accouchement
201	accoucheur
202	accouchée
203	accoudement
204	accoudoir
205	accouple
206	accouplement
207	accourcissement
208	accoutrement
209	accoutumance
210	accoutumée
211	accouvage
212	accroc
213	accrochage
214	accroche
215	accroche-coeur
216	accrocheur
217	accroissement
218	accroupissement
219	accru
220	accrue
221	accréditation
222	accréditeur
223	accréditif
224	accrédité
225	accrétion
226	accu
227	accueil
228	acculturation
229	acculée
230	accumulateur
231	accumulation
232	accusateur
233	accusatif
234	accusation
235	accusé
236	accès
237	accédant
238	accélérateur
239	accélération
240	accélérographe
241	accéléromètre
242	accéléré
243	ace
244	acerbité
245	acescence
246	achaine
247	achalandage
248	achalasie
249	achard
250	achards
251	acharisme
252	acharnement
253	acharné
254	achat
255	ache
256	acheminement
257	acheteur
258	acheuléen
259	achevé
260	achigan
261	achillée
262	acholie
263	achondroplasie
264	achoppement
265	achromat
266	achromaticité
267	achromatisme
268	achromatopsie
269	achromie
270	achylie
271	achète
272	achèvement
273	achéen
274	acidalie
275	acide
276	acidifiant
277	acidification
278	acidimètre
279	acidimétrie
280	acidité
281	acidocétose
282	acidose
283	acidulation
284	acier
285	acinus
286	acinésie
287	aciérage
288	aciération
289	aciérie
290	acmite
291	acmé
292	acméisme
293	acné
294	acnéique
295	acolytat
296	acolyte
297	acompte
298	acon
299	aconage
300	aconier
301	aconit
302	aconitine
303	acoquinement
304	acore
305	acotylédone
306	acoumètre
307	acoumétrie
308	acouphène
309	acousticien
310	acoustique
311	acquiescement
312	acquis
313	acquisition
314	acquit
315	acquittement
316	acquitté
317	acquéreur
318	acquêt
319	acre
320	acridien
321	acrimonie
322	acrobate
323	acrobatie
324	acrocyanose
325	acrocéphale
326	acrocéphalie
327	acrodynie
328	acroléine
329	acromion
330	acromégalie
331	acron
332	acronyme
333	acrophobie
334	acropole
335	acrostiche
336	acrotère
337	acrylique
338	actant
339	acte
340	actes
341	acteur
342	actif
343	actifs
344	actine
345	acting
346	actiniaire
347	actinide
348	actinie
349	actinisme
350	actinite
351	actinium
352	actinologie
353	actinomycine
354	actinomycose
355	actinomycète
356	actinomètre
357	actinométrie
358	actinopode
359	actinoscopie
360	actinote
361	actinothérapie
362	action
363	actionnaire
364	actionnalisme
365	actionnariat
366	actionnement
367	actionneur
368	activant
369	activateur
370	activation
371	active
372	activeur
373	activisme
374	activiste
375	activité
376	actuaire
377	actualisation
378	actualité
379	actualités
380	actuariat
381	actuateur
382	actée
383	acuité
384	aculéate
385	acuponcteur
386	acuponcture
387	acupuncteur
388	acupuncture
389	acyle
390	acylium
391	acéphale
392	acétamide
393	acétate
394	acétobacter
395	acétone
396	acétonurie
397	acétonémie
398	acétyle
399	acétylure
400	acétylène
401	adage
402	adagio
403	adamien
404	adamisme
405	adamite
406	adaptabilité
407	adaptateur
408	adaptation
409	addax
410	addenda
411	addict
412	addiction
413	additif
414	addition
415	additionneur
416	adducteur
417	adduction
418	adent
419	adepte
420	adermine
421	adhérence
422	adhérent
423	adhésion
424	adhésivité
425	adiabatique
426	adiantum
427	adiaphorèse
428	adieu
429	adipolyse
430	adipopexie
431	adipose
432	adiposité
433	adipsie
434	adjectivateur
435	adjectivation
436	adjoint
437	adjonction
438	adjudant
439	adjudant-chef
440	adjudicataire
441	adjudicateur
442	adjudication
443	adjuration
444	adjuvant
445	adjuvat
446	adminicule
447	administrateur
448	administratif
449	administration
450	administré
451	admirateur
452	admiration
453	admis
454	admissibilité
455	admissible
456	admission
457	admittance
458	admittatur
459	admixtion
460	admonestation
461	admonition
462	ado
463	adobe
464	adolescence
465	adolescent
466	adonis
467	adoptant
468	adoptianisme
469	adoptianiste
470	adoptif
471	adoption
472	adopté
473	adorant
474	adorateur
475	adoration
476	adoré
477	ados
478	adossement
479	adoubement
480	adouci
481	adoucissage
482	adoucissant
483	adoucissement
484	adoucisseur
485	adragante
486	adressage
487	adresse
488	adret
489	adrénaline
490	adrénergique
491	adsorbant
492	adsorbat
493	adsorption
494	adstrat
495	adulaire
496	adulateur
497	adulation
498	adulte
499	adultisme
500	adultère
501	adultération
502	advection
503	adverbe
504	adversaire
505	adversité
506	adynamie
507	adèle
508	adénite
509	adénocarcinome
510	adénogramme
511	adénomatose
512	adénome
513	adénopathie
514	adénosine
515	adénovirus
516	adénoïdectomie
517	adéquation
518	aegagropile
519	aegosome
520	aepyornis
521	aeschne
522	aethusa
523	affabilité
524	affabulateur
525	affabulation
526	affacturage
527	affadissement
528	affaiblissement
529	affaiblisseur
530	affaire
531	affairement
532	affaires
533	affairisme
534	affairiste
535	affairé
536	affaissement
537	affaitage
538	affaitement
539	affaiteur
540	affale
541	affalement
542	affameur
543	affamé
544	affect
545	affectation
546	affectif
547	affection
548	affectivité
549	affecté
550	affenage
551	affermage
552	affermissement
553	affichage
554	affiche
555	affichette
556	afficheur
557	affichiste
558	affidavit
559	affidé
560	affilage
561	affileur
562	affiliation
563	affilié
564	affiloir
565	affilée
566	affinage
567	affinement
568	affineur
569	affinité
570	affiquet
571	affirmation
572	affirmative
573	affixe
574	affleurement
575	affleurée
576	affliction
577	affligé
578	afflouage
579	affluence
580	affluent
581	afflux
582	affolement
583	affolé
584	affouage
585	affouagiste
586	affouillement
587	affouragement
588	affranchi
589	affranchissement
590	affres
591	affreux
592	affriquée
593	affront
594	affrontement
595	affrètement
596	affréteur
597	affublement
598	affusion
599	afféage
600	afféterie
601	affût
602	affûtage
603	affûteur
604	affûteuse
605	affûtiaux
606	afghan
607	aficionado
608	africanisation
609	africaniste
610	afrikaans
611	afrikaner
612	agace
613	agacement
614	agacerie
615	agalactie
616	agami
617	agamie
618	agamète
619	agape
620	agapes
621	agar
622	agar-agar
623	agaric
624	agaricacée
625	agate
626	agave
627	agavé
628	age
629	agence
630	agencement
631	agenda
632	agenouillement
633	agenouilloir
634	agent
635	ager
